,Name,Position,Club,Nationality,Age,Height,Weight
165,Andreas Christensen,Defender,Chelsea,Denmark,23,188cm,78kg
166,César Azpilicueta,Defender,Chelsea,Spain,30,178cm,76kg
167,Emerson,Defender,Chelsea,Italy,25,176cm,63kg
168,Reece James,Defender,Chelsea,England,20,182cm,82kg
169,Kurt Zouma,Defender,Everton  (Loan),France,25,190cm,96kg
170,Fikayo Tomori,Defender,Chelsea,England,22,185cm,75kg
171,Marc Guehi,Defender,Chelsea,England,19,182cm,82kg
172,Ian Maatsen,Defender,Chelsea,Netherlands,17,167cm,57kg
173,Tariq Lamptey,Defender,Chelsea,England,19,,
174,Jorginho,Midfielder,Chelsea,Italy,28,180cm,65kg
175,N'Golo Kanté,Midfielder,Chelsea,France,28,168cm,68kg
176,Ross Barkley,Midfielder,Chelsea,England,26,189cm,76kg
177,Ruben Loftus-Cheek,Midfielder,Chelsea,England,23,191cm,88kg
178,Christian Pulisic,Midfielder,Chelsea,United States,21,172cm,69kg
179,Mateo Kovacic,Midfielder,Chelsea,Croatia,25,178cm,78kg
180,Mason Mount,Midfielder,Chelsea,England,20,178cm,70kg
181,Billy Gilmour,Midfielder,Chelsea,Scotland,18,166cm,60kg
182,Faustino Anjorin,Midfielder,Chelsea,England,18,185cm,73kg
183,Pedro,Forward,Chelsea,Spain,32,169cm,65kg
184,Olivier Giroud,Forward,Chelsea,France,33,192cm,93kg
185,Callum Hudson-Odoi,Forward,Chelsea,England,19,182cm,76kg
186,Willian,Forward,Chelsea,Brazil,31,175cm,77kg
187,Tammy Abraham,Forward,Aston Villa  (Loan),England,22,190cm,80kg
188,Isaiah Brown,Midfielder,Chelsea,England,22,182cm,70kg
189,Michy Batshuayi,Forward,Crystal Palace  (Loan),Belgium,26,184cm,74kg
190,Wayne Hennessey,Goalkeeper,Crystal Palace,Wales,32,198cm,90kg
191,Vicente Guaita,Goalkeeper,Crystal Palace,Spain,32,190cm,81kg
192,Stephen Henderson,Goalkeeper,Crystal Palace  (Loan),Ireland,31,193cm,87kg
193,Joel Ward,Defender,Crystal Palace,England,30,188cm,83kg
194,Patrick van Aanholt,Defender,Crystal Palace,Netherlands,29,176cm,74kg
195,James Tomkins,Defender,Crystal Palace,England,30,192cm,74kg
196,Mamadou Sakho,Defender,Crystal Palace,France,29,187cm,83kg
197,Jeffrey Schlupp,Defender,Crystal Palace,Ghana,27,178cm,72kg
198,Martin Kelly,Defender,Crystal Palace,England,29,191cm,77kg
199,Jairo Riedewald,Defender,Crystal Palace,Netherlands,23,182cm,79kg
200,Nikola Tavares,Defender,Crystal Palace,England,20,,
201,Sam Woods,Defender,Crystal Palace,England,21,,
202,Scott Dann,Defender,Crystal Palace,England,32,188cm,76kg
203,Gary Cahill,Defender,Crystal Palace,England,34,193cm,86kg
204,Tyrick Mitchell,Defender,Crystal Palace,England,20,,
205,Luka Milivojevic,Midfielder,Crystal Palace,Serbia,28,186cm,80kg
206,Max Meyer,Midfielder,Crystal Palace,Germany,24,173cm,67kg
207,Cheikhou Kouyaté,Midfielder,Crystal Palace,Senegal,30,189cm,83kg
208,Andros Townsend,Midfielder,Crystal Palace,England,28,181cm,77kg
209,James McArthur,Midfielder,Crystal Palace,Scotland,32,178cm,75kg
210,Víctor Camarasa,Midfielder,Crystal Palace  (Loan),Spain,25,183cm,76kg
211,James McCarthy,Midfielder,Crystal Palace,Ireland,29,180cm,72kg
212,Nya Kirby,Midfielder,Crystal Palace,England,19,174cm,
213,Brandon Pierrick,Midfielder,Crystal Palace,England,18,,
214,Wilfried Zaha,Forward,Crystal Palace,Cote D'Ivoire,27,180cm,66kg
215,Christian Benteke,Forward,Crystal Palace,Belgium,29,190cm,83kg
216,Connor Wickham,Forward,Crystal Palace,England,26,191cm,90kg
217,Jordan Ayew,Forward,Crystal Palace,Ghana,28,182cm,80kg
218,James Daly,Forward,Crystal Palace,England,19,,
219,Jordan Pickford,Goalkeeper,Everton,England,25,185cm,77kg
220,Maarten Stekelenburg,Goalkeeper,Everton,Netherlands,37,197cm,92kg
221,Jonas Lössl,Goalkeeper,Everton,Denmark,30,195cm,89kg
222,Leighton Baines,Defender,Everton,England,35,170cm,74kg
223,Michael Keane,Defender,Everton,England,26,191cm,82kg
224,Lucas Digne,Defender,Everton,France,26,178cm,74kg
225,Yerry Mina,Defender,Everton,Colombia,25,195cm,94kg
226,Séamus Coleman,Defender,Everton,Ireland,31,177cm,67kg
227,Mason Holgate,Defender,Everton,England,23,184cm,63kg
228,Cuco Martina,Defender,Everton,Curacao,30,185cm,77kg
229,Djibril Sidibé,Defender,Everton  (Loan),France,27,182cm,71kg
230,Gylfi Sigurdsson,Midfielder,Everton,Iceland,30,186cm,79kg
231,Morgan Schneiderlin,Midfielder,Everton,France,30,181cm,75kg
232,Tom Davies,Midfielder,Everton,England,21,180cm,70kg
233,André Gomes,Midfielder,Everton,Portugal,26,188cm,84kg
234,Fabian Delph,Midfielder,Everton,England,30,174cm,60kg
235,Jean-Philippe Gbamin,Midfielder,Everton,Cote D'Ivoire,24,186cm,83kg
236,Beni Baningime,Midfielder,Everton,The Democratic Republic Of Congo,21,178cm,70kg
237,Dennis Adeniran,Midfielder,Fulham,England,20,180cm,75kg
238,Bernard,Forward,Everton,Brazil,27,166cm,57kg
239,Theo Walcott,Forward,Everton,England,30,176cm,68kg
240,Cenk Tosun,Forward,Everton,Turkey,28,183cm,78kg
241,Dominic Calvert-Lewin,Forward,Everton,England,22,187cm,71kg
242,Richarlison,Forward,Everton,Brazil,22,179cm,71kg
243,Oumar Niasse,Forward,Everton,Senegal,29,182cm,75kg
244,Moise Kean,Forward,Everton,Italy,19,183cm,67kg
245,Alex Iwobi,Forward,Everton,Nigeria,23,180cm,75kg
246,Anthony Gordon,Forward,Everton,England,18,,
247,Kasper Schmeichel,Goalkeeper,Leicester,Denmark,33,189cm,89kg
248,Danny Ward,Goalkeeper,Leicester,Wales,26,191cm,88kg
249,Eldin Jakupovic,Goalkeeper,Leicester,Switzerland,35,191cm,85kg
250,Ben Chilwell,Defender,Leicester,England,23,178cm,77kg
251,Çaglar Söyüncü,Defender,Leicester,Turkey,23,185cm,82kg
252,Wes Morgan,Defender,Leicester,Jamaica,35,186cm,101kg
253,Jonny Evans,Defender,Leicester,Northern Ireland,31,188cm,77kg
254,Ricardo Pereira,Defender,Leicester,Portugal,26,175cm,70kg
255,Christian Fuchs,Defender,Leicester,Austria,33,187cm,89kg
256,Daniel Amartey,Defender,Leicester,Ghana,25,186cm,79kg
257,James Justin,Defender,Leicester,England,21,183cm,80kg
258,Filip Benkovic,Defender,Leicester,Croatia,22,194cm,80kg
259,Demarai Gray,Midfielder,Leicester,England,23,180cm,74kg
260,James Maddison,Midfielder,Leicester,England,23,175cm,73kg
261,Marc Albrighton,Midfielder,Leicester,England,30,175cm,74kg
262,Harvey Barnes,Midfielder,Leicester,England,22,174cm,66kg
263,Matty James,Midfielder,Leicester,England,28,181cm,86kg
264,Nampalys Mendy,Midfielder,Leicester,France,27,167cm,73kg
265,Wilfred Ndidi,Midfielder,Leicester,Nigeria,23,183cm,74kg
266,Hamza Choudhury,Midfielder,Leicester,England,22,178cm,64kg
267,Youri Tielemans,Midfielder,Leicester,Belgium,22,176cm,72kg
268,Dennis Praet,Midfielder,Leicester,Belgium,25,181cm,78kg
269,Kelechi Iheanacho,Forward,Leicester,Nigeria,23,185cm,82kg
270,Jamie Vardy,Forward,Leicester,England,32,179cm,74kg
271,Ayoze Pérez,Forward,Leicester,Spain,26,178cm,72kg
272,Alisson,Goalkeeper,Liverpool,Brazil,27,191cm,91kg
273,Caoimhin Kelleher,Goalkeeper,Liverpool,Ireland,21,178cm,74kg
274,Andy Lonergan,Goalkeeper,Liverpool,England,36,192cm,87kg
275,Adrián,Goalkeeper,Liverpool,Spain,32,190cm,80kg
276,Ben Winterbottom,Goalkeeper,Liverpool,England,18,,
277,Virgil van Dijk,Defender,Liverpool,Netherlands,28,193cm,92kg
278,Dejan Lovren,Defender,Liverpool,Croatia,30,188cm,84kg
279,Joseph Gomez,Defender,Liverpool,England,22,188cm,77kg
280,Andrew Robertson,Defender,Liverpool,Scotland,25,178cm,64kg
281,Joel Matip,Defender,Liverpool,Cameroon,28,195cm,90kg
282,Ki-Jana Hoever,Defender,Liverpool,Netherlands,17,180cm,65kg
283,Trent Alexander-Arnold,Defender,Liverpool,England,21,175cm,69kg
284,Sepp van den Berg,Defender,Liverpool,Netherlands,18,189cm,74kg
285,Nathaniel Clyne,Defender,Bournemouth  (Loan),England,28,175cm,67kg
286,Yasser Larouci,Defender,Liverpool,France,18,176cm,68kg
287,Neco Williams,Defender,Liverpool,Wales,18,,
288,Billy Koumetio,Defender,Liverpool,France,17,,
289,Tony Gallacher,Defender,Liverpool,Scotland,20,173cm,
290,Thomas Clayton,Defender,Liverpool,Scotland,19,,
291,Morgan Boyes,Defender,Liverpool,England,18,,
292,James Norris,Defender,Liverpool,England,16,,
293,Fabinho,Midfielder,Liverpool,Brazil,26,188cm,78kg
294,Georginio Wijnaldum,Midfielder,Liverpool,Netherlands,29,175cm,69kg
295,James Milner,Midfielder,Liverpool,England,33,175cm,70kg
296,Naby Keita,Midfielder,Liverpool,Guinea,24,172cm,64kg
297,Jordan Henderson,Midfielder,Liverpool,England,29,182cm,67kg
298,Adam Lallana,Midfielder,Liverpool,England,31,172cm,73kg
299,Alex Oxlade-Chamberlain,Midfielder,Liverpool,England,26,180cm,70kg
300,Curtis Jones,Midfielder,Liverpool,England,18,185cm,75kg
301,Allan Souza,Midfielder,Liverpool,Brazil,22,172cm,70kg
302,Harvey Elliott,Midfielder,Liverpool,England,16,170cm,
303,Pedro Chirivella,Midfielder,Liverpool,Spain,22,178cm,66kg
304,Adam Lewis,Midfielder,Liverpool,England,20,175cm,70kg
305,Herbie Kane,Midfielder,Liverpool,England,21,177cm,73kg
306,Luis Longstaff,Midfielder,Liverpool,England,18,168cm,60kg
307,Leighton Clarkson,Midfielder,Liverpool,England,18,175cm,62kg
308,Isaac Christie-Davies,Midfielder,Liverpool,England,22,,
309,Elijah Dixon-Bonner,Midfielder,Liverpool,England,18,,
310,Jack Bearne,Midfielder,Liverpool,England,18,,
311,Roberto Firmino,Forward,Liverpool,Brazil,28,181cm,76kg
312,Sadio Mané,Forward,Liverpool,Senegal,27,175cm,69kg
313,Mohamed Salah,Forward,Liverpool,Egypt,27,175cm,71kg
314,Xherdan Shaqiri,Forward,Liverpool,Switzerland,28,169cm,72kg
315,Rhian Brewster,Forward,Liverpool,England,19,180cm,75kg
316,Divock Origi,Forward,Liverpool,Belgium,24,185cm,75kg
317,Layton Stewart,Forward,Liverpool,England,17,,
318,Thomas Hill,Forward,Liverpool,England,17,,
319,Claudio Bravo,Goalkeeper,Man City,Chile,36,184cm,80kg
320,Ederson,Goalkeeper,Man City,Brazil,26,188cm,86kg
321,Daniel Grimshaw,Goalkeeper,Man City,England,21,185cm,77kg
322,Scott Carson,Goalkeeper,Man City  (Loan),England,34,190cm,76kg
323,Kyle Walker,Defender,Man City,England,29,178cm,70kg
324,John Stones,Defender,Man City,England,25,188cm,70kg
325,Aymeric Laporte,Defender,Man City,France,25,191cm,86kg
326,Benjamin Mendy,Defender,Man City,France,25,185cm,85kg
327,Nicolás Otamendi,Defender,Man City,Argentina,31,183cm,81kg
328,Oleksandr Zinchenko,Defender,Man City,Ukraine,23,175cm,64kg
329,Angeliño,Defender,Man City,Spain,22,175cm,69kg
330,João Cancelo,Defender,Man City,Portugal,25,182cm,74kg
331,Eric García,Defender,Man City,Spain,18,182cm,
332,Taylor Harwood-Bellis,Defender,Man City,England,17,,
333,Alpha Richard Dionkou,Defender,Man City,Senegal,18,183cm,70kg
334,Ilkay Gündogan,Midfielder,Man City,Germany,29,180cm,80kg
335,Kevin De Bruyne,Midfielder,Man City,Belgium,28,181cm,68kg
336,Bernardo Silva,Midfielder,Man City,Portugal,25,173cm,64kg
337,David Silva,Midfielder,Man City,Spain,33,173cm,67kg
338,Fernandinho,Midfielder,Man City,Brazil,34,179cm,67kg
339,Phil Foden,Forward,Man City,England,19,171cm,70kg
340,Rodrigo,Midfielder,Man City,Spain,23,191cm,82kg
341,Adrián Bernabé,Midfielder,Man City,Spain,18,,
342,Tommy Doyle,Midfielder,Man City,England,18,,
343,Riyad Mahrez,Forward,Man City,Algeria,28,179cm,67kg
344,Raheem Sterling,Forward,Man City,England,25,170cm,69kg
345,Sergio Agüero,Forward,Man City,Argentina,31,173cm,70kg
346,Leroy Sané,Forward,Man City,Germany,23,183cm,75kg
347,Gabriel Jesus,Forward,Man City,Brazil,22,175cm,73kg
348,Ian Carlo Poveda-Ocampo,Forward,Man City,England,19,,
349,David de Gea,Goalkeeper,Man Utd,Spain,29,192cm,76kg
350,Lee Grant,Goalkeeper,Man Utd,England,36,193cm,83kg
351,Sergio Romero,Goalkeeper,Man Utd,Argentina,32,192cm,87kg
352,Matej Kovar,Goalkeeper,Man Utd,Czech Republic,19,,
353,Victor Lindelöf,Defender,Man Utd,Sweden,25,187cm,80kg
354,Eric Bailly,Defender,Man Utd,Cote D'Ivoire,25,187cm,77kg
355,Phil Jones,Defender,Man Utd,England,27,180cm,71kg
356,Marcos Rojo,Defender,Man Utd,Argentina,29,187cm,85kg
357,Ashley Young,Defender,Man Utd,England,34,175cm,65kg
358,Diogo Dalot,Defender,Man Utd,Portugal,20,183cm,76kg
359,Luke Shaw,Defender,Man Utd,England,24,185cm,75kg
360,Aaron Wan-Bissaka,Defender,Man Utd,England,22,183cm,72kg
361,Timothy Fosu-Mensah,Defender,Man Utd,Netherlands,21,190cm,78kg
362,Axel Tuanzebe,Defender,Aston Villa  (Loan),England,22,182cm,75kg
363,Harry Maguire,Defender,Man Utd,England,26,194cm,100kg
364,Brandon Williams,Defender,Man Utd,England,19,171cm,63kg
365,Ethan Laird,Defender,Man Utd,England,18,,
366,Max Taylor,Defender,Man Utd,England,19,,
367,Di'Shon Bernard,Defender,Man Utd,England,19,,
368,Teden Mengi,Defender,Man Utd,England,17,183cm,
369,Paul Pogba,Midfielder,Man Utd,France,26,191cm,84kg
370,Juan Mata,Midfielder,Man Utd,Spain,31,170cm,63kg
371,Jesse Lingard,Midfielder,Man Utd,England,27,175cm,62kg
372,Andreas Pereira,Midfielder,Man Utd,Brazil,23,178cm,71kg
373,Fred,Midfielder,Man Utd,Brazil,26,169cm,64kg
374,Nemanja Matic,Midfielder,Man Utd,Serbia,31,194cm,85kg
375,Scott McTominay,Midfielder,Man Utd,Scotland,23,193cm,88kg
376,Daniel James,Midfielder,Man Utd,Wales,22,170cm,76kg
377,Angel Gomes,Midfielder,Man Utd,England,19,161cm,61kg
378,James Garner,Midfielder,Man Utd,England,18,,
379,Tahith Chong,Forward,Man Utd,Netherlands,20,185cm,75kg
380,Arnau Puigmal Martínez,Midfielder,Man Utd,Spain,18,173cm,
381,Ethan Galbraith,Midfielder,Man Utd,Northern Ireland,18,,
382,Dylan Levitt,Midfielder,Man Utd,Wales,19,,
383,Marcus Rashford,Forward,Man Utd,England,22,180cm,70kg
384,Anthony Martial,Forward,Man Utd,France,24,181cm,76kg
385,Mason Greenwood,Forward,Man Utd,England,18,181cm,70kg
386,D'Mani Mellor,Forward,Man Utd,England,19,,
387,Largie Ramazani,Forward,Man Utd,Belgium,18,,
388,Robert Elliot,Goalkeeper,Newcastle,Ireland,33,190cm,94kg
389,Martin Dubravka,Goalkeeper,Newcastle,Slovakia,30,190cm,80kg
390,Karl Darlow,Goalkeeper,Newcastle,England,29,190cm,88kg
391,Ciaran Clark,Defender,Newcastle,Ireland,30,185cm,88kg
392,Paul Dummett,Defender,Newcastle,Wales,28,183cm,82kg
393,Fabian Schär,Defender,Newcastle,Switzerland,28,188cm,84kg
394,Jamaal Lascelles,Defender,Newcastle,England,26,188cm,89kg
395,Federico Fernández,Defender,Newcastle,Argentina,30,190cm,83kg
396,Javier Manquillo,Defender,Newcastle,Spain,25,178cm,76kg
397,Florian Lejeune,Defender,Newcastle,France,28,189cm,89kg
398,DeAndre Yedlin,Defender,Newcastle,United States,26,172cm,75kg
399,Jetro Willems,Defender,Newcastle  (Loan),Netherlands,25,177cm,65kg
400,Emil Krafth,Defender,Newcastle,Sweden,25,184cm,83kg
